ERROR 2016-11-09 16:32:43,521 182224ms SetupApiController     LoadTypeList       - The underlying provider failed on Open.
ERROR 2016-11-09 16:32:43,628 182331ms SetupApiController     dDataFieldUnitList - The underlying provider failed on Open.
ERROR 2016-11-09 16:32:43,633 182336ms SetupApiController     LoadFieldList      - The underlying provider failed on Open.
ERROR 2016-11-09 16:33:28,766 227469ms SetupApiController     GetMaxObjectId     - The cast to value type 'System.Int32' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2016-11-09 16:36:09,604 388307ms SetupApiController     GetMaxDatafieldId  - The cast to value type 'System.Int32' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type.
ERROR 2016-11-09 16:36:15,962 394664ms SetupApiController     LoadDataFieldUnits - The underlying provider failed on Open.
ERROR 2016-11-09 16:38:30,451 529154ms SetupApiController     eBuidingObjectData - An error occurred while updating the entries. See the inner exception for details.
ERROR 2016-11-09 16:48:25,920 1124623ms AlarmController        dAlarmSuppressList - The underlying provider failed on Open.
ERROR 2016-11-09 16:54:37,927 1496629ms AlarmController        LoadAlarmItqfList  - The underlying provider failed on Open.
DEBUG 2016-11-09 17:22:42,124  6558ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:35:44,768  1663ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:48:06,024   925ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:52:02,474   763ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:54:01,030   781ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:55:28,114   818ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 17:58:01,300   764ms Global                 Application_Start  - Site Starting Debug....
ERROR 2016-11-09 17:58:39,219 38683ms AccountController      LogIn              - The underlying provider failed on Open.
DEBUG 2016-11-09 17:59:37,471   662ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:01:39,768   814ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:03:28,371   735ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:09:24,475   849ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:13:30,151   419ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:16:25,162   458ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:18:45,825   483ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:20:51,239   469ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 18:45:32,024   783ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 19:05:38,119   816ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 19:20:24,074   413ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 19:31:15,411   837ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 21:29:18,451  1253ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 21:37:44,303   873ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-09 21:42:55,300 15509ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-10 00:48:53,167   841ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-10 10:27:04,406  2823ms Global                 Application_Start  - Site Starting Debug....
ERROR 2016-11-10 10:28:02,836 61252ms AccountController      LogIn              - The underlying provider failed on Open.
DEBUG 2016-11-12 13:39:24,547  8787ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-12 13:52:27,929  2849ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-12 13:55:39,472  1963ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-12 14:32:43,899  1338ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-15 18:02:38,084  2900ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-16 12:40:05,784  9611ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-16 13:47:35,009  2243ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-28 18:44:59,140  7149ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-28 19:05:18,823  6175ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-28 19:10:31,700   688ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-28 19:18:48,468   619ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-11-28 19:28:31,481   675ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-12-01 01:17:16,459  2477ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-12-01 01:24:39,327   536ms Global                 Application_Start  - Site Starting Debug....
DEBUG 2016-12-14 13:47:02,040  3158ms Global                 Application_Start  - Site Starting Debug....
ERROR 2016-12-14 13:47:50,687 51804ms AccountController      LogIn              - The underlying provider failed on Open.
ERROR 2016-12-14 13:47:53,920 55038ms AccountController      LogIn              - The underlying provider failed on Open.
